date_assumed_office,name,office_title,party
,Juan Vargas,U.S. House California District 51,Democratic Party
2009,Judy Chu,U.S. House California District 27,Democratic Party
,Julia Brownley,U.S. House California District 26,Democratic Party
2011,Karen Bass,U.S. House California District 37,Democratic Party
,Ken Buck,U.S. House Colorado District 4,Republican Party
1993,Ken Calvert,U.S. House California District 42,Republican Party
,Hank Johnson,U.S. House Georgia District 4,Democratic Party
,Jackie Walorski,U.S. House Indiana District 2,Republican Party
2003,Linda Sánchez,U.S. House California District 38,Democratic Party
,Lou Correa,U.S. House California District 46,Democratic Party
,Jim Himes,U.S. House Connecticut District 4,Democratic Party
1993,Lucille Roybal-Allard,U.S. House California District 40,Democratic Party
,Mark DeSaulnier,U.S. House California District 11,Democratic Party
,Mark Takano,U.S. House California District 41,Democratic Party
2015,Jody Hice,U.S. House Georgia District 10,Republican Party
2007,Joe Courtney,U.S. House Connecticut District 2,Democratic Party
,John Rutherford,U.S. House Florida District 4,Republican Party
2011,Martha Roby,U.S. House Alabama District 2,Republican Party
1997,John Shimkus,U.S. House Illinois District 15,Republican Party
1991,Maxine Waters,U.S. House California District 43,Democratic Party
,Mimi Walters,U.S. House California District 45,Republican Party
2011,Mo Brooks,U.S. House Alabama District 5,Republican Party
1987,Nancy Pelosi,U.S. House California District 12,Democratic Party
,Nanette Barragán,U.S. House California District 44,Democratic Party
,Norma Torres,U.S. House California District 35,Democratic Party
,Kathy Castor,U.S. House Florida District 14,Democratic Party
2011,Paul Gosar,U.S. House Arizona District 4,Republican Party
,Pete Aguilar,U.S. House California District 31,Democratic Party
2011,Larry Bucshon,U.S. House Indiana District 8,Republican Party
,Lois Frankel,U.S. House Florida District 21,Democratic Party
2003,Raul Grijalva,U.S. House Arizona District 3,Democratic Party
,Raul Ruiz,U.S. House California District 36,Democratic Party
2003,Mario Diaz-Balart,U.S. House Florida District 25,Republican Party
,Ro Khanna,U.S. House California District 17,Democratic Party
,Matt Gaetz,U.S. House Florida District 1,Republican Party
1997,Robert Aderholt,U.S. House Alabama District 4,Republican Party
,Neal Dunn,U.S. House Florida District 2,Republican Party
,Ruben Gallego,U.S. House Arizona District 7,Democratic Party
,Salud Carbajal,U.S. House California District 24,Democratic Party
,Randy Hultgren,U.S. House Illinois District 14,Republican Party
,Mike Quigley,U.S. House Illinois District 5,Democratic Party
,Rick Allen,U.S. House Georgia District 12,Republican Party
,Rob Woodall,U.S. House Georgia District 7,Republican Party
,Robin Kelly,U.S. House Illinois District 2,Democratic Party
,John Delaney,U.S. House Maryland District 6,Democratic Party
1999,John Larson,U.S. House Connecticut District 1,Democratic Party
,Danny K. Davis,U.S. House Illinois District 7,Democratic Party
,Jan Schakowsky,U.S. House Illinois District 9,Democratic Party
,Raja Krishnamoorthi,U.S. House Illinois District 8,Democratic Party
,Brad Schneider,U.S. House Illinois District 10,Democratic Party
,Andy Barr,U.S. House Kentucky District 6,Republican Party
2011,Scott Tipton,U.S. House Colorado District 3,Republican Party
,Stephen Knight,U.S. House California District 25,Republican Party
,Dave Loebsack,U.S. House Iowa District 2,Democratic Party
,Stephanie Murphy,U.S. House Florida District 7,Democratic Party
,Rod Blum,U.S. House Iowa District 1,Republican Party
2011,Steve Womack,U.S. House Arkansas District 3,Republican Party
,Lynn Jenkins,U.S. House Kansas District 2,Republican Party
,Susan Brooks,U.S. House Indiana District 5,Republican Party
,Roger Marshall,U.S. House Kansas District 1,Republican Party
2009,Brett Guthrie,U.S. House Kentucky District 2,Republican Party
,Hal Rogers,U.S. House Kentucky District 5,Republican Party
2001,Susan Davis,U.S. House California District 53,Democratic Party
,Ted Lieu,U.S. House California District 33,Democratic Party
,James Comer Jr.,U.S. House Kentucky District 1,Republican Party
2011,Terri Sewell,U.S. House Alabama District 7,Democratic Party
,Ted Yoho,U.S. House Florida District 3,Republican Party
,Thomas Massie,U.S. House Kentucky District 4,Republican Party
2010,Tom Graves,U.S. House Georgia District 14,Republican Party
,Bruce Poliquin,U.S. House Maine District 2,Republican Party
2009,Tom McClintock,U.S. House California District 4,Republican Party
,Chellie Pingree,U.S. House Maine District 1,Democratic Party
,Tom O'Halleran,U.S. House Arizona District 1,Democratic Party
,Joe Barton,U.S. House Texas District 6,Republican Party
,Tony Cardenas,U.S. House California District 29,Democratic Party
,Dutch Ruppersberger,U.S. House Maryland District 2,Democratic Party
,Tulsi Gabbard,U.S. House Hawaii District 2,Democratic Party
,Val Demings,U.S. House Florida District 10,Democratic Party
,Vern Buchanan,U.S. House Florida District 16,Republican Party
,Elijah Cummings,U.S. House Maryland District 7,Democratic Party
2007,John Sarbanes,U.S. House Maryland District 3,Democratic Party
2011,Bill Keating,U.S. House Massachusetts District 9,Democratic Party
,Joseph Kennedy III,U.S. House Massachusetts District 4,Democratic Party
,Katherine Clark,U.S. House Massachusetts District 5,Democratic Party
1999,Michael Capuano,U.S. House Massachusetts District 7,Democratic Party
1989,Richard Neal,U.S. House Massachusetts District 1,Democratic Party
,Seth Moulton,U.S. House Massachusetts District 6,Democratic Party
2001,Stephen Lynch,U.S. House Massachusetts District 8,Democratic Party
2011,Bill Huizenga,U.S. House Michigan District 2,Republican Party
,Brenda Lawrence,U.S. House Michigan District 14,Democratic Party
,Dan Kildee,U.S. House Michigan District 5,Democratic Party
,Debbie Dingell,U.S. House Michigan District 12,Democratic Party
,Fred Upton,U.S. House Michigan District 6,Republican Party
,Jack Bergman,U.S. House Michigan District 1,Republican Party
,John Moolenaar,U.S. House Michigan District 4,Republican Party
2011,Justin Amash,U.S. House Michigan District 3,Republican Party
